iter	Passed	Remaining
0	2	226
1	4	224
2	6	219
3	8	211
4	10	206
5	13	204
6	15	201
7	17	197
8	19	196
9	22	199
10	24	195
11	26	192
12	28	190
13	30	186
14	32	184
15	34	182
16	38	186
17	40	184
18	42	181
19	44	178
20	46	176
21	49	175
22	51	172
23	53	170
24	56	168
25	58	167
26	60	164
27	62	161
28	64	158
29	67	156
30	69	154
31	71	151
32	73	149
33	75	147
34	77	144
35	80	142
36	82	140
37	84	137
38	86	135
39	88	133
40	90	130
41	92	128
42	95	126
43	97	124
44	99	121
45	102	119
46	104	117
47	106	115
48	108	112
49	110	110
50	112	108
51	114	106
52	116	103
53	119	101
54	120	98
55	123	96
56	125	94
57	127	92
58	129	89
59	131	87
60	133	85
61	135	83
62	138	81
63	140	78
64	142	76
65	144	74
66	147	72
67	149	70
68	151	68
69	153	65
70	155	63
71	157	61
72	160	59
73	162	57
74	164	54
75	166	52
76	168	50
77	170	48
78	173	46
79	175	43
80	178	41
81	180	39
82	182	37
83	184	35
84	186	32
85	188	30
86	190	28
87	192	26
88	194	24
89	196	21
90	199	19
91	201	17
92	203	15
93	206	13
94	208	10
95	210	8
96	213	6
97	215	4
98	217	2
99	219	0
